category,cdi_category,bv_tsne_x,bv_tsne_y,things_tsne_x,things_tsne_y
glass,household,1.261537,-13.17926,0.62417805,-14.000958
glasses,household,12.842286,-4.928337,11.706335,-1.2668132
glove,unknown,7.600209,1.9690373,-7.5538607,-2.4253547
glue,toys,2.528198,-6.003113,1.7049938,-6.168246
grass,outside,-2.605683,11.083973,-4.05365,-1.9194816
gum,food_drink,4.031828,-5.3482237,-10.499233,-16.176086
hair,body_parts,13.764669,10.641496,-1.255249,3.998397
hamburger,food_drink,-7.3519735,-8.919022,-18.98347,-9.552795
hammer,household,-0.36566967,-2.2342749,-1.0446197,-1.8682585
hand,body_parts,9.779917,3.766465,12.950702,1.606004
hat,clothing,9.535762,-5.3396087,-1.7307858,22.643435
helicopter,vehicles,-8.483446,11.6195755,-9.286067,11.984561
horse,animals,-13.591255,8.932747,-23.299948,7.494457
hose,outside,-3.7664075,14.780646,-4.3322096,14.657774
ice,food_drink,-2.73597,-7.845169,-14.435835,16.554007
jacket,clothing,9.782704,9.644442,5.9212503,24.861244
jar,household,2.9819388,-11.940262,3.2527657,-14.442231
jeans,clothing,11.707359,8.23723,11.22312,24.436052
juice,food_drink,1.6412638,-11.436594,12.871447,-24.106104
knife,household,-0.5424005,-4.9232516,-1.56658,-4.4665737
ladder,outside,0.8233897,16.260393,0.62983775,16.957561
lamp,household,7.387575,-3.721285,-0.7990639,19.155102
leg,body_parts,14.475228,5.9280815,14.053461,4.828695
lollipop,food_drink,9.7977915,-13.518444,7.954317,-12.718378
meat,food_drink,-8.211989,-6.07487,-8.366864,-5.145649
melon,food_drink,-3.9342794,-14.408493,-3.1123195,-14.814685
milk,food_drink,1.5413659,-7.5812106,12.357952,-24.313793
mitten,unknown,7.338507,2.5794406,-7.8591533,-2.5810661
money,household,4.5715027,-5.0099854,2.472731,4.180389
mop,household,-3.710391,18.477566,-6.3453126,23.032646
motorcycle,vehicles,-7.542896,17.0872,-10.885118,14.3136425
mouth,body_parts,15.550307,-8.278601,18.696867,-9.3896
muffin,food_drink,-8.324021,-9.015312,-14.842474,-13.292295
nail,household,12.284268,-8.847542,-6.249685,8.19534
napkin,household,6.2816615,0.07284723,1.3027843,-19.155184
necklace,clothing,11.895095,-4.6835537,11.865819,-3.5506885
nose,body_parts,14.548901,-7.1039124,18.719126,-9.369208
nut,unknown,11.573039,-10.8716955,-11.689029,-5.576293
orange,food_drink,9.777561,-17.868277,11.143727,-18.381968
oven,furniture_rooms,14.567421,16.953257,15.610423,17.26981
owl,animals,-2.384073,3.2660708,-16.16106,-1.4551325
pajamas,clothing,10.264331,8.123935,3.793489,26.42387
pancake,food_drink,-7.95718,-7.792399,-7.2321177,-7.4680324
pants,clothing,12.497432,8.270296,11.231969,24.455566
paper,household,4.3796587,4.8605103,5.1112075,4.254556
pasta,unknown,-11.492895,-8.490125,-12.38744,-9.524776
pastry,unknown,-9.128959,-9.406214,-17.92323,-5.2763557
pen,toys,7.5349846,-6.2264857,-20.877563,15.285422
pencil,toys,7.550002,-6.3187366,-21.02883,15.00841
penguin,animals,-6.695805,2.1492052,-7.376537,1.9978087
pickle,food_drink,-5.242736,-15.697388,-6.768812,-12.776252
pig,animals,-12.274579,8.547632,-11.367053,8.909109
pillow,household,8.056012,0.5288032,9.31268,0.8428678
pizza,food_drink,-9.020756,-6.906109,-9.930175,-6.1466165
plant,household,5.8168163,-1.987636,-14.45135,4.371838
plate,household,-3.5624232,-11.033037,-10.463548,-24.19543
pony,animals,-13.3605585,9.331817,-23.302767,7.4936895
popcorn,food_drink,-4.614973,-5.627395,-14.803461,-6.4359837
popsicle,food_drink,5.1781936,-6.673989,-10.299941,-17.60734
potato,food_drink,7.7712107,-18.84223,6.977097,-19.65567
pretzel,food_drink,-6.7072587,-9.530885,-18.46209,-5.022287
pudding,food_drink,-3.487669,-8.637574,-17.313444,-17.810259
pumpkin,food_drink,9.852262,-18.68641,10.051456,-19.964127
purse,household,5.0272384,1.4965106,4.495147,2.0415766
radio,household,3.5449991,-7.8481903,-16.649801,2.4310274
raisin,food_drink,12.133268,-9.793885,-14.516174,0.7320902
refrigerator,furniture_rooms,13.745786,16.676548,14.655076,18.066687
rock,outside,0.8146062,5.9626365,-5.107011,-3.6071706
rooster,animals,-4.7138686,2.4879928,-19.998127,3.6817958
sandbox,outside,2.431279,10.223475,1.1556714,11.277262
sandwich,food_drink,-11.075317,-11.763907,-18.376764,-11.014348
sauce,food_drink,-4.070716,-8.839545,2.2064407,-15.742581
scarf,clothing,9.140695,8.528134,1.1606431,-23.737247
scissors,household,1.1429467,-3.967293,-8.316332,9.144944
sheep,animals,-4.2403193,5.8524847,-5.0151496,6.474649
shirt,clothing,11.505793,9.552028,3.876699,26.373318
shoe,clothing,18.628462,-0.831249,19.7605,-1.550756
shorts,clothing,13.1763735,7.8065753,11.817114,24.612617
shovel,outside,-0.10326225,-3.377481,-5.2586746,21.531988
shower,furniture_rooms,9.109667,17.568357,8.414629,18.398426
sink,furniture_rooms,5.8111086,8.983596,9.3053055,-8.843005
sled,vehicles,-0.24257985,11.028858,-0.56607366,15.163228
slide,outside,-0.5933953,11.71873,5.7717676,-24.935692
slipper,clothing,10.594978,-6.296638,20.270163,-1.8606322
snow,outside,-0.22213288,6.731904,-14.364021,17.211338
snowman,outside,-2.5457518,2.1131015,-14.348923,18.075829
snowsuit,clothing,8.706387,9.840428,6.095999,25.013687
soap,household,3.8888173,-9.650426,-8.727011,-16.81671
sock,clothing,16.961231,0.6762012,17.542788,1.8289399
soda,food_drink,3.2728255,-12.378658,14.289373,-23.493563
soup,food_drink,-4.413397,-8.425636,-4.8944073,-7.5246544
spoon,household,-0.5690618,-5.6309843,-3.539892,-23.279783
sprinkler,outside,-4.6152625,8.738212,-4.9505296,9.748457
squirrel,animals,-4.502209,3.2415807,-10.033898,3.2314315
stick,outside,0.22750227,-0.13211097,0.61718804,0.104986206
strawberry,food_drink,7.004452,-15.348821,6.294397,-15.094664
stroller,vehicles,-7.433979,17.69864,-8.073057,18.55594
sweater,clothing,11.114127,10.048454,-1.4198115,7.5213666
swing,outside,-2.13033,12.746113,-2.1983645,13.341165
table,furniture_rooms,4.2030573,9.794761,2.8117068,13.094461
tape,household,-0.3994226,-11.377648,-1.0100077,-12.088963
tiger,animals,-5.669508,3.5066123,-16.56486,6.708121
toast,food_drink,-11.673825,-12.812698,-18.321815,-11.229968
toe,body_parts,15.158605,-1.9047008,20.657797,3.2536147
tooth,body_parts,14.242044,-8.4989,15.288069,-9.653825
toothbrush,household,1.1798121,-2.8069522,1.435553,-1.8108852
towel,household,6.3459835,0.20353146,1.8526282,-22.073236
toy,toys,2.95611,-4.028604,3.2912416,-2.6072094
tractor,vehicles,-7.6095467,15.381378,-8.931145,-0.44719857
train,vehicles,11.141399,13.997988,-10.3384495,-2.2714148
tray,household,4.105307,8.860605,3.90678,8.042134
tree,outside,-3.192155,10.618574,-19.54089,-0.15415806
tricycle,vehicles,-7.824911,16.284168,-9.030723,16.322502
truck,vehicles,-2.805522,-0.7012147,-11.558101,-0.9903085
turkey,animals,0.26590917,4.5543027,-19.893091,3.6810718
vacuum,household,-3.595539,17.622684,-5.323407,17.034702
watch,household,11.490437,-6.7169614,-3.2064319,7.3378606
window,furniture_rooms,10.240774,15.822303,-5.4824634,12.543554
wolf,animals,-3.660875,1.2152385,-11.704294,4.979516
yogurt,food_drink,-3.5084867,-6.5977097,-17.514713,-17.775291
zebra,animals,-16.986101,8.196247,-17.739609,8.25469
