,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,soup,spoon,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cookie,1.0131358,0.76737493,1.240685,0.8843897,0.8388941,0.6382672,0.92887837,1.1466225,1.2568212,0.89571434,1.1481525,1.2063098,1.1343209,1.204572,1.0988209,0.9836939,0.89588505,0.84012777,1.0097246,0.6115051,1.1741374,0.856261,0.9727459,1.1647539,0.9398509,1.2494758,1.1221843,0.529551,0.74695665,1.2177454,1.2394263,0.8782525,0.9840345,0.0,0.9531155,1.259007,0.46008193,0.9245399,1.2975129,0.93711406,0.8232528,1.0853271,1.1057067,1.1968743,1.0526972,1.1939445,0.8898182,0.8228884,1.2025816,0.9485893,1.1403458,1.1324251,1.122109,0.85909706,0.99958426,1.0945498,0.7384584,0.9286628,1.0982896,1.0949405,1.0924369,1.1707747,0.83889973,1.1852956,0.6731786,1.1614401,1.0517985,1.0281085,1.0159701,1.3003272,0.9786978,1.2933018,0.92888975,0.97506154,0.8570211,0.8902189,0.9481673,0.7802093,1.0978482,1.1296163,1.0850272,0.90274733,1.042087,0.7205164,0.9725373,0.8661426,1.041908,1.0063796,1.0613803,1.3516082,1.3136802,1.0430083,0.9408017,0.9215001,0.67040026,1.1086502,1.0338266,0.93025374,0.75065804,0.8693998,0.4907977,1.0532366,1.1949723,0.9329033,0.81668484,1.1470854,0.9611171,1.0834218,1.3009377,0.8939984,1.2779182,0.9963413,1.2830274,0.8510863,1.1280965,0.91774094,1.1408052,0.9710378,1.0762793,0.99639,0.81404364,0.8298453,1.0853328,0.84087145,1.1981894,1.2466815,1.1876364,0.7906722,1.044864,0.9961219,1.1082119,0.8244784,0.9297348,0.8596202,1.0509958,1.2585554,1.0057391,1.0823965,1.0948838
corn,0.94535214,0.79321444,1.2014507,0.9031294,0.80178654,0.81055844,0.810215,1.2074751,1.190297,0.80039227,1.2570866,1.1616148,1.1435963,1.092198,1.0564156,0.9536353,0.8775412,0.8257692,1.0369145,0.8780558,0.9585159,0.8263713,0.897336,1.2291727,0.76076734,1.2429028,1.233705,1.1256361,0.9211281,1.3209399,0.99667734,0.99331445,0.44957435,0.9531155,0.0,1.2823892,0.9152671,0.6006308,1.2100176,0.8692903,1.018481,1.0737162,1.0221324,1.2707971,1.1585122,1.0769639,0.86624026,1.0018655,1.0106107,0.97163415,1.153175,0.8375702,1.0725842,0.80931944,0.8211092,0.9163827,0.8328897,0.8511843,1.232096,0.7580319,0.9510565,1.0618012,0.60600924,1.1293862,1.1230421,0.9781637,1.0256169,1.1107931,1.1524024,1.1734984,1.0642247,1.1850047,0.7490437,1.1644608,0.9638575,0.76885706,1.1072572,0.76983476,1.0224969,1.1409353,0.8195025,1.1224161,0.85244906,0.95190924,0.68067217,0.9699057,1.0078006,1.2463256,1.1288351,1.1854099,1.2081783,1.1011801,0.6759288,0.7321493,0.88356453,0.99790096,0.9953906,0.8665569,0.77876323,1.0445957,1.1057185,1.0300118,1.1829606,0.9472536,1.0438123,1.2690101,1.0095674,0.9670789,1.1324719,0.7149881,1.2566444,1.0584136,1.2011054,1.067973,1.2086766,1.125525,1.0761919,0.76025593,1.1195959,0.6980158,0.93798107,0.7499805,1.040321,0.7620983,1.2314509,1.2771196,1.2914022,0.8262161,0.84561676,1.0581198,0.7618786,0.85759294,0.68105286,1.0264063,1.1441349,1.1671112,1.0076493,0.74755174,1.1866192
couch,1.0937283,1.4040928,0.58281267,1.2347716,1.3500832,1.4398912,1.0694162,0.49687862,0.40357298,1.2774432,0.30865586,0.7383304,1.0408762,0.5845418,1.0014406,1.0597519,1.3505163,1.1912649,0.8875862,1.463552,0.96214324,1.1495403,1.1713398,0.8186154,1.3486488,0.67525864,0.32825005,0.98953384,1.3973794,0.4239077,0.844239,1.2404431,1.0235245,1.259007,1.2823892,0.0,1.0875119,1.431807,0.40604603,1.3198447,1.1888345,1.0473909,1.2211821,0.5593594,0.76443,0.8033203,1.2925954,1.2604089,0.8566606,1.312419,0.8212787,1.2662103,1.073494,1.4383245,1.398979,1.0358483,1.341092,1.2575226,0.81671154,1.3512713,1.0511061,0.9316751,1.4345936,0.76839983,0.9756029,1.019464,1.045597,1.1347922,0.8498689,0.5063745,1.0160543,0.50329524,1.3141851,0.70603186,1.1676928,1.2005347,0.9575122,1.1123662,0.954179,0.86261946,1.1922157,1.0873796,1.3232658,1.1576449,1.4083567,1.2677882,1.2325805,0.65730727,0.94463086,0.61873704,0.5488608,0.86982715,1.4472214,1.4075472,1.3677783,0.72488576,0.980913,1.3089719,1.4257764,1.1933907,1.0362844,1.1065245,0.58775574,1.14445,1.1462239,0.5555954,1.340209,0.7924623,0.72415465,1.4551928,0.5621762,0.96715605,0.64151704,0.8195654,0.70259464,0.76986086,0.8148267,1.3953408,0.7424257,0.85222864,1.1839485,1.4539354,0.96850234,1.4956151,0.6120705,0.47607005,0.3146373,1.4053334,1.2996651,1.1811049,1.027955,1.1871446,1.4168353,0.9671742,0.87079567,0.7597827,0.88939244,1.3544948,0.5933742
cracker,0.98599815,0.9965314,1.0045422,1.0124539,1.0825019,0.7844409,1.0228745,1.101505,1.1630812,1.096033,0.94071174,1.1186271,1.1693006,1.0463889,1.1205722,0.9903159,1.0976458,0.93195933,0.9831534,0.69826865,1.1449649,0.9961758,1.0833697,1.2482275,1.0128311,1.2821277,0.9986464,0.27466357,1.0784853,1.1148337,1.1630235,1.0244036,0.8502306,0.46008193,0.9152671,1.0875119,0.0,1.1073903,1.1810733,1.1274642,0.93588734,1.0298617,1.0756972,1.1326461,0.9165052,1.0301898,1.0413789,1.0115817,1.2205713,1.1264244,1.0518658,1.0617038,1.2176759,1.0458426,1.136027,0.95430386,0.7625813,1.0222656,1.002047,1.127505,0.89194405,1.2177964,0.92161286,1.0256509,0.55114216,0.9141662,1.0299759,1.1141775,1.0576073,1.0316776,1.0593289,1.0989387,0.99854416,0.9066485,1.0759767,0.93137616,0.75034726,0.8236259,0.87843335,1.0938253,1.0140952,0.7710735,1.1662679,0.8002403,1.0029441,1.0041989,1.1620915,0.9192793,1.1114686,1.1432908,1.1412328,1.018515,1.1095259,1.082828,0.8935433,0.98520255,0.8592144,1.0758774,0.9490349,0.9833619,0.48932308,0.9298632,0.96767354,1.062591,0.9934082,1.1022707,1.0946583,0.74804556,0.96397054,1.119813,1.0652279,0.93232334,1.0829206,0.6479792,1.2008753,0.990068,1.1618073,1.1349244,1.2089272,0.8105178,1.0589488,1.0252372,1.0570745,0.9996937,1.1138916,1.0515773,1.0248361,1.0795816,1.0444297,1.0401683,0.98986876,0.8780181,1.0866374,0.7534277,1.0899726,1.2071891,1.0260348,1.1364398,1.1090808
crayon,1.0920107,0.5771644,1.4601382,0.89250016,0.652529,0.63117784,0.94977176,1.4227138,1.4507108,0.26285398,1.451752,1.4348191,1.1704435,1.4188707,1.1401415,0.9807294,0.4778918,0.8106928,1.1794244,0.5324845,0.74124074,0.85424376,0.5451188,1.1675384,0.35378683,1.2398161,1.3022563,1.2788968,0.7453974,1.4525251,1.2336028,0.8962323,0.80116045,0.9245399,0.6006308,1.431807,1.1073903,0.0,1.4751797,0.4250021,1.0984672,0.9410214,0.97753346,1.3211367,1.2916529,1.2714043,0.6353738,0.98677295,1.2424841,0.74568343,1.3098943,0.57896733,1.1239563,0.35526985,0.4899419,0.9688152,0.50645924,0.9457727,1.487113,0.43924928,1.1525373,1.1014524,0.56655526,1.2978556,1.3090107,1.2255567,1.1164286,1.0808765,1.2257648,1.481837,1.181769,1.3911297,0.4857396,1.2134595,0.71403885,0.8380097,1.2588868,1.0446004,1.3270078,1.1773739,0.72561777,1.234484,0.3139344,0.88234174,0.38575935,0.845954,0.6375658,1.2606074,1.3363621,1.4992394,1.3405268,1.2722299,0.09889376,0.10332513,0.5208625,1.0678318,1.2173074,0.5465834,0.35996163,1.014473,1.35871,1.0138501,1.458292,0.90793604,0.97219557,1.3413035,0.83416146,1.3009427,1.4088451,0.4308557,1.488382,1.2179781,1.351218,1.1294084,0.97076243,1.0781202,1.2810369,0.22296059,1.1543374,0.95977485,0.36305505,0.35910368,0.8379219,0.5009865,1.4250907,1.5282252,1.5489311,0.61907136,0.53717893,0.8283676,0.8966757,0.59419894,0.4283964,1.2470589,1.1491312,1.231869,0.8138587,0.30511832,1.1972616
crib,0.98524874,1.4696412,0.680247,1.2203928,1.3465078,1.4926367,0.7945738,0.457525,0.08307725,1.3460541,0.4007737,0.61481005,1.008158,0.37588775,0.84503984,0.84053713,1.3659984,1.1092447,0.5939106,1.5289456,1.086696,1.05905,1.2763338,0.7204056,1.4324808,0.7536433,0.40942353,0.9864466,1.2324086,0.58732677,0.8350611,1.2150856,0.99486226,1.2975129,1.2100176,0.40604603,1.1810733,1.4751797,0.0,1.3313608,0.99483997,1.139353,1.1916417,0.57305306,0.7554659,0.80186033,1.3835435,1.2791862,0.7987591,1.304754,0.909723,1.4216324,0.90202534,1.4882879,1.3850863,1.2364885,1.3974724,1.1202744,0.70862854,1.491221,1.0803101,0.9594021,1.3110521,0.9412036,0.9731417,1.0906237,1.1528413,1.0652,0.8523903,0.58539176,0.9703104,0.6587968,1.2594337,0.65916926,1.1774087,1.2164911,0.8803129,1.1528596,0.93162364,0.8198208,1.3190782,1.2468445,1.469308,1.1128402,1.5113947,1.3361952,1.3183355,0.6871897,0.85721886,0.43816304,0.7070904,0.73740155,1.4396151,1.4252534,1.4490771,0.6898057,0.7915847,1.3178108,1.411799,1.1183385,1.0751443,1.1699674,0.5688076,1.0637554,1.1698265,0.53899705,1.2595205,0.8562209,0.8193773,1.3508389,0.66775596,0.92197615,0.78029037,0.9268284,0.77500206,0.81062627,0.6434976,1.5137892,0.77844524,0.9152198,1.2661155,1.4513452,1.0315224,1.5561692,0.32969332,0.6144336,0.38322973,1.3531613,1.4916238,1.148047,0.9303765,1.173378,1.2816622,0.79623204,0.8094461,0.7172978,0.94168,1.4903939,0.6608883
cup,1.272372,0.67842543,1.4125001,0.97948396,0.65069616,0.63918483,0.6114864,1.3915045,1.4141018,0.562087,1.3576316,1.4566933,1.2803223,1.5219814,1.3471547,1.027143,0.08009738,0.5749707,1.1543678,0.42946655,0.7299146,0.56521297,0.32639253,1.1725621,0.7938893,1.2808414,1.0485792,1.1983784,0.62241054,1.2689197,1.2825571,0.8519234,1.0088588,0.93711406,0.8692903,1.3198447,1.1274642,0.4250021,1.3313608,0.0,1.0055524,0.72520405,0.67719305,1.1388968,1.2420117,1.2891648,0.9076367,0.8163955,1.2543572,0.70728093,1.2876637,0.7791798,1.2135425,0.813883,0.29274023,1.0649654,0.5744563,1.1245216,1.274149,0.58243847,1.2427202,1.0621532,0.9214877,1.2570791,1.2378821,1.3542831,1.0657141,0.94204164,1.2008622,1.484746,0.7302481,1.5046941,0.4283415,0.9963476,0.5537671,0.89667916,1.1882911,1.220681,1.39211,1.2475629,0.87899673,1.2676892,0.4929564,0.58964086,0.53661907,0.93879086,0.815665,1.0662113,1.3281742,1.506229,1.4004734,1.3493931,0.3914616,0.45825225,0.8175645,1.1364743,1.2246674,0.35630095,0.30351663,0.9610898,1.2617927,1.0019978,1.2574741,0.52716887,1.0165479,0.96482474,0.5981294,1.2308737,1.4134927,0.5538038,1.4463503,1.2237062,1.4518654,0.8573401,0.8788064,1.0367408,1.3833817,0.45011473,1.1725804,1.095846,0.57506406,0.4759397,1.057549,0.6004715,1.2646015,1.4738431,1.3722835,0.6827776,0.7013862,1.1323903,1.2688417,0.55014026,0.6274014,1.2587682,1.0515693,1.228584,0.47621703,0.53970903,0.90181416
dish,0.9787392,0.94861233,1.1444788,0.90354663,0.8463432,1.0452112,0.8146749,0.98833555,1.0438561,1.140604,1.1965231,1.0446028,0.76973045,1.0193098,0.9761834,0.90881044,0.963921,0.7393824,0.7982086,1.0278809,1.1383305,0.83249235,1.0997097,0.86865115,1.1173645,1.112552,1.2013334,0.8500905,0.5208001,1.0930367,1.0848238,0.8174939,1.0548521,0.8232528,1.018481,1.1888345,0.93588734,1.0984672,0.99483997,1.0055524,0.0,1.0330268,0.93535864,1.0545874,1.0090051,1.0792292,1.12942,0.89949334,1.1133107,0.9107195,1.0689036,1.2345282,0.9325311,0.99136317,1.0034312,1.1992828,0.99231094,0.95463043,0.7557155,1.1961613,1.0183352,1.1626835,0.83509326,1.18221,0.9118216,1.1289071,1.0651295,1.0132482,0.95544493,1.202054,0.784112,1.2133775,0.9272007,1.0249578,0.91703504,1.1452031,0.78616524,0.9765091,0.99281025,0.89900243,1.246271,1.0767369,1.0760273,0.81558836,1.1403973,1.0629351,1.1857415,1.0397141,0.96610117,1.0847387,1.2679272,0.9937316,1.0861406,1.0718641,1.039811,1.038633,0.7496652,1.1380842,0.93122137,0.9277408,0.8011008,1.0902524,0.9366073,0.8071301,0.97200894,1.0045949,0.8923802,1.0436387,1.1992415,0.88016236,1.1257979,0.84520257,1.2201709,1.0519273,1.1112648,0.97307396,0.9969722,1.1159139,1.0330132,1.0256673,1.1699007,0.96832967,1.1326275,1.0297158,0.8307562,1.1660063,0.9986049,0.818316,1.2051435,0.91024876,0.906628,0.96045196,0.8834889,0.85773695,1.0824965,0.9716782,1.0745463,1.198107,1.0752608
dog,1.0367326,0.94916075,1.2013421,1.0644652,0.97786546,0.7911278,0.950918,1.3747914,1.1841724,0.8931832,1.0950193,1.1745973,0.8828581,1.250235,1.2033731,1.108815,0.72358876,0.97325146,1.2049124,0.6543074,1.0079967,0.95694965,0.57555693,1.0461106,0.9987367,0.9131716,1.0741745,1.0655591,0.87336767,1.1300284,1.144036,1.0043149,1.2302854,1.0853271,1.0737162,1.0473909,1.0298617,0.9410214,1.139353,0.72520405,1.0330268,0.0,0.38049412,1.1499085,1.1074177,1.1481338,0.90581524,0.8907603,1.0981925,0.72202116,1.0222152,0.8914708,1.1068403,0.9364635,0.6374454,0.95849735,0.93347,0.91725314,1.1004254,0.7436045,0.94701564,1.045435,1.0776868,0.9865808,1.0749592,1.0528353,1.01749,0.61162996,1.1464955,1.1758083,0.8816163,1.1673913,0.92356503,1.0514499,0.9847432,0.9454487,0.97186506,1.1694089,1.1222227,1.0383893,0.8768388,0.9437953,0.8029202,0.9730234,0.813396,1.030066,0.91897225,1.073617,1.0792655,1.1388158,1.088379,1.2482219,0.90683866,0.9416854,0.9740146,1.0010664,1.0056866,0.7102113,0.87276304,0.5927161,1.1027925,0.94195473,0.9782651,0.8425538,1.1264437,1.0885237,0.6300281,1.1240109,0.94684756,0.7297595,1.1028019,0.8837439,1.0749111,1.0952063,1.1240671,1.310096,1.227481,0.7389647,1.2378088,1.2737025,1.0209057,0.84742224,1.0826775,0.8223868,0.95499307,1.1785736,1.1800454,1.0232394,0.80524975,0.93443304,1.2671866,0.91429305,0.8721624,1.2290473,1.0769178,1.015468,0.793585,0.77442884,1.0361488
doll,0.9859821,0.8590079,1.2316406,0.89868814,0.8586761,0.66725516,0.9266651,1.329137,1.2418516,1.0513049,1.2783926,1.1370777,0.91123676,1.2645959,1.1600156,1.0626531,0.5770651,0.86372995,1.1325234,0.68406236,1.0134676,0.77214146,0.60459197,1.200309,1.0090729,1.228646,1.1914444,1.0528291,0.75587136,1.1909556,1.1540716,0.8025199,1.2359626,1.1057067,1.0221324,1.2211821,1.0756972,0.97753346,1.1916417,0.67719305,0.93535864,0.38049412,0.0,1.1980987,1.167148,1.1592531,1.0221788,0.73893166,1.1647501,0.66603076,0.9878973,0.87404156,1.0191607,1.0688109,0.65746886,0.90265733,0.933055,0.7578683,0.96937025,0.8193654,0.7979875,1.1196669,1.0046179,1.0224609,1.0182642,1.0328023,0.7264788,0.78590983,1.0883238,1.2797611,0.6370286,1.2353128,0.8557117,1.1686153,0.92621225,1.0204384,1.0068815,1.0838776,0.9263257,1.085337,0.88927764,0.9672206,0.8662871,0.8376446,0.77887326,1.0354784,0.91741264,1.1447959,1.0519495,1.1516559,1.1820061,1.2116368,0.92486894,0.9664519,0.9593876,1.082924,0.95425487,0.6915436,0.77006626,0.8654997,1.0063782,0.9507768,0.9995994,0.8279277,1.2023137,1.0516436,0.5508048,1.202827,1.0218428,0.62000126,1.1862156,0.81004083,1.1854494,1.0426315,1.2875295,1.3110778,1.2275884,0.7424695,1.3159678,1.2809198,1.1319147,0.70560944,1.1637692,0.6894865,0.8707142,1.2470658,1.232387,0.83763486,0.8449356,0.89609957,1.180009,1.0128299,0.6350396,1.0795232,1.1360139,1.1212546,0.82870054,0.7623154,1.1301801
door,0.97691065,1.331326,0.7548757,1.2760782,1.2479582,1.311664,1.0105989,0.5889746,0.6385672,1.1956618,0.6308195,0.9677095,0.97547734,0.8598634,1.00731,1.1370924,1.1854751,1.2388856,0.9095385,1.3729949,0.7486345,1.1323133,1.1269534,0.8079252,1.312082,0.69673485,0.4494946,1.0755726,1.1418933,0.34122455,0.8941295,1.2411075,1.0693493,1.1968743,1.2707971,0.5593594,1.1326461,1.3211367,0.57305306,1.1388968,1.0545874,1.1499085,1.1980987,0.0,0.8370922,0.94185495,1.2081962,1.2671402,0.9023509,1.1229218,0.8743032,1.2394831,1.0036377,1.29636,1.2394048,1.029854,1.1917803,1.1389699,0.906462,1.255165,1.2582417,0.75643,1.3668544,0.83291835,1.0694443,1.0834067,1.1733007,1.1820626,0.80040824,0.72639036,1.0029982,0.80700475,1.2588464,0.7254833,0.91616344,1.0923471,1.0205666,1.0800881,1.0620533,0.95362705,1.1667707,1.1541836,1.2558547,1.1175898,1.3262312,1.195263,1.23891,0.63595986,1.0053728,0.83212256,0.7584444,0.9845383,1.2875049,1.2757448,1.3005147,1.0108277,1.1445351,1.146105,1.3484502,1.1244485,1.0707673,1.0744029,0.83121586,1.0213872,1.0543905,0.3239553,1.2076064,0.98958254,0.9025502,1.2551311,0.7734275,1.1252375,0.83417964,0.8596077,0.29519904,0.75494134,0.8920604,1.3479273,0.60768896,1.0339086,1.0573974,1.3307619,0.8508917,1.4099035,0.84156334,0.6713487,0.6523365,1.3366059,1.2605121,1.171311,1.0076059,1.1555376,1.3857943,1.0413935,0.8713598,0.73543227,0.77355826,1.3212221,0.49252462
drawer,1.064028,1.1532701,0.86058927,1.00032,1.0414798,1.2380648,0.93051666,0.780399,0.8180069,1.090111,0.6939512,0.97638106,1.0600096,0.83299553,0.98182505,0.8798864,1.2840966,0.84054935,0.538162,1.2842073,1.1378553,0.90000075,1.1028293,1.0790105,1.1611081,1.1080662,0.7475021,0.8577372,1.2399623,0.93877333,1.0205932,1.0267137,1.0410174,1.0526972,1.1585122,0.76443,0.9165052,1.2916529,0.7554659,1.2420117,1.0090051,1.1074177,1.167148,0.8370922,0.0,0.76957154,1.1086974,1.0791247,1.1318957,1.169481,1.0390531,0.9612274,1.2258474,1.2185692,1.2765789,0.97187066,1.0849391,1.1061419,0.766657,1.1477919,0.8571659,1.074138,1.030589,1.0180639,0.90714717,0.7552583,1.0995711,1.0892198,0.80221903,0.866956,0.96099144,0.82856107,1.0872014,0.6605191,1.0963348,1.1154467,0.98137194,1.0147895,0.8659592,0.9255087,0.98584336,0.8540987,1.2757211,1.01615,1.2019312,0.9800111,1.2256783,0.7219682,0.97941,0.93363285,0.8568758,0.90946674,1.262161,1.1916932,1.177198,0.82324827,0.9841262,1.2308898,1.1559536,1.0833548,0.8674827,0.907897,0.63919723,0.9348058,0.99862564,0.87667835,1.2043333,0.98000365,0.814005,1.2868547,1.0028597,0.8367859,0.8026471,0.8629154,1.0079975,0.7884567,0.9676142,1.186658,1.120621,0.90516293,1.1672779,1.1791588,1.0596579,1.197072,0.8779162,0.9149194,0.8325595,1.1002573,1.0558122,1.0846803,0.9889375,0.9831954,1.1450617,0.60981256,1.0774748,1.0414423,1.0025239,1.1472687,1.0185474
dress,1.0864314,1.305608,0.57406956,1.1923532,1.2696931,1.2115798,1.1120291,0.85505545,0.76382434,1.189934,0.7484139,0.6655908,1.1171631,0.71151173,0.874279,0.8027207,1.3030516,1.0697217,0.8095505,1.2562377,1.1648098,1.185737,1.2122958,1.2158918,1.1996574,0.9461285,0.8495027,0.98352164,1.2487328,0.8802779,0.67469954,1.1624007,0.929257,1.1939445,1.0769639,0.8033203,1.0301898,1.2714043,0.80186033,1.2891648,1.0792292,1.1481338,1.1592531,0.94185495,0.76957154,0.0,1.1676321,1.2032232,0.8004633,1.269069,0.97453636,1.0694289,1.0870428,1.308329,1.2882926,1.0559366,1.1827495,1.1560104,0.93896073,1.2889082,0.81462586,0.8994835,1.1390274,1.0188615,0.90849775,0.6646459,1.040595,0.87530774,0.82243115,0.6248179,1.0591456,0.5176393,1.1565355,0.9720497,1.2274208,1.1802095,1.0297606,1.0998204,0.77891296,1.0722649,1.1828012,0.9760342,1.257694,1.1064566,1.177175,1.1257479,1.1812167,0.86497307,0.79742163,0.5535744,0.56811625,0.76926285,1.2554375,1.2613723,1.2397938,0.89481443,0.83801985,1.1858433,1.3165467,1.1091584,0.95296067,0.995694,0.70798165,1.2070696,1.0659345,0.9717974,1.2363733,0.7581838,0.7038251,1.2934451,0.66988117,0.9594732,0.58736575,0.9310993,1.0765095,1.0190552,0.89576614,1.2688415,1.0514511,0.8698723,1.2425575,1.2510988,1.004953,1.2074153,1.0025045,0.6165602,0.7280484,1.2379383,1.1620678,1.1655078,0.93037784,1.1299957,1.2694999,0.8121463,1.0321766,1.0573093,1.1560543,1.1728569,1.0214492
ear,1.1115882,0.79545534,1.3362511,0.9409097,0.8706336,0.73744595,1.0938412,1.3133061,1.3639939,0.59771526,1.2230338,1.3234713,1.1103284,1.3318725,1.02844,1.2205399,1.0122252,1.0118047,1.2545683,0.6474146,0.9598621,0.98506296,0.73130155,1.190669,0.53663063,0.96329296,1.2949893,1.2130662,0.9922404,1.3049524,1.0090805,0.8006684,1.0284586,0.8898182,0.86624026,1.2925954,1.0413789,0.6353738,1.3835435,0.9076367,1.12942,0.90581524,1.0221788,1.2081962,1.1086974,1.1676321,0.0,0.8952776,1.065361,0.76219225,1.1602888,0.660906,1.0617421,0.57907826,0.8823585,0.72462916,0.80872303,1.0095304,1.3024428,0.5400746,1.0687503,0.90585953,0.8582029,1.0494101,1.1652753,0.9146441,0.9073006,1.0292926,1.0911828,1.2705302,1.2686399,1.1533538,0.9456773,1.1561908,1.0075374,0.73560864,1.1437948,0.8092421,1.2394186,1.1387898,0.6428307,0.83316195,0.691326,1.1121615,0.5715179,0.5820598,0.66113895,1.2473348,1.1780323,1.3345442,1.0422281,1.270117,0.67246234,0.68388325,0.68518466,1.0603052,1.2081165,0.9538586,0.79955375,0.9101708,1.1045746,0.7188849,1.4571395,1.1065108,0.74397236,1.2819579,1.0006218,1.245362,1.1677512,0.7908638,1.3197031,1.122581,1.0329376,1.2326096,0.9994822,1.0495781,1.1375463,0.5593008,1.2255859,1.2018373,0.6394112,0.721567,0.89866996,0.5711047,1.4118588,1.3516748,1.3955414,0.7888421,0.5407052,0.81550425,1.0268488,0.93753004,0.9235023,1.131091,1.1690986,1.0494491,1.136195,0.59711736,1.1431087
egg,1.2141936,0.46804065,1.1055058,0.38429618,0.46788144,0.758022,1.0090206,1.2274448,1.23134,1.0719166,1.300407,1.1879108,1.1346483,1.1935921,1.1656387,1.1168964,0.76840603,0.84014523,1.2367208,0.75239503,1.0508112,0.91275245,0.9650161,1.205592,0.8854146,1.2888513,1.2495748,1.0101582,0.76515496,1.1570042,1.1037861,0.7403786,1.1556396,0.8228884,1.0018655,1.2604089,1.0115817,0.98677295,1.2791862,0.8163955,0.89949334,0.8907603,0.73893166,1.2671402,1.0791247,1.2032232,0.8952776,0.0,1.1944797,0.78251725,1.0653884,0.86008567,1.0986195,0.9757125,0.7919694,1.0823255,1.0108434,1.0872601,1.1043798,0.9201225,0.95740134,1.1314442,0.93627787,1.0397228,0.9836716,1.0218229,0.73956853,0.8659872,1.0846635,1.2005558,0.85911375,1.2301319,0.9514262,1.1366951,0.85530555,1.0706134,1.0468556,0.9669841,0.96748096,1.1328362,1.0016171,0.8556997,0.79575956,0.90411824,0.9271099,0.6857858,0.7759278,1.268995,1.042593,1.195694,1.2842383,1.1527945,0.9703727,0.9655319,0.8476987,1.0622317,1.1327136,0.92208743,0.8702713,0.8836898,0.78419733,0.75646013,1.1582326,0.9014527,0.8231665,1.280178,0.8393465,1.1004925,1.2099704,0.9384267,1.1553782,1.0751079,1.2220343,1.1237437,1.2256157,1.1885957,1.0959841,0.87883556,1.1342372,1.0596565,1.0588421,0.8538282,1.1014129,0.53799,1.0843179,1.190546,1.2886468,0.467335,0.822542,0.90381,1.1771053,1.0025135,0.7647783,1.1475261,1.0662034,1.2770039,1.0302954,0.89536506,1.1849897
elephant,1.0695528,1.2989924,0.7704613,1.2012993,1.2831899,1.2686566,1.1216136,0.75940984,0.7213142,1.1174064,0.81787026,0.7259764,0.9052503,0.7874116,0.8952094,1.1652979,1.27819,1.259506,1.169328,1.2226353,0.99910223,1.2436154,1.2062447,0.8709997,1.1926435,0.4703107,1.0006498,1.1701238,1.227282,0.87341994,0.38372588,1.2036457,0.9913551,1.2025816,1.0106107,0.8566606,1.2205713,1.2424841,0.7987591,1.2543572,1.1133107,1.0981925,1.1647501,0.9023509,1.1318957,0.8004633,1.065361,1.1944797,0.0,1.0616118,0.9068883,1.0509688,0.86825293,1.2585697,1.2387133,0.9775422,1.1864592,1.1588691,1.1139066,1.0292398,1.0468247,0.61805296,1.3503737,0.90445757,1.1843357,0.9125472,0.98041296,0.8862139,0.9094116,0.6143653,1.0773611,0.61169446,1.1386209,1.0750904,1.120365,0.9574901,1.1000288,1.1129327,1.0407346,1.1371673,1.1004319,1.0723766,1.1438062,1.1249306,1.0632918,1.1638327,1.0968252,1.0356324,0.7125292,0.6172323,0.5593642,0.91992396,1.1806946,1.2176332,1.2046201,1.0309405,0.9773747,1.1628437,1.3313122,1.1317102,1.1555562,1.0611072,0.9397027,1.2123649,1.1035331,0.9352133,1.1974596,0.85199916,0.7811927,1.2154778,0.6681087,1.0350099,0.599772,1.1415038,0.88785094,0.94366044,0.7152644,1.1710246,0.5808958,1.1185454,1.1771141,1.2640849,0.94792306,1.2315031,1.0242231,0.6754966,0.7840393,1.274229,1.100227,1.1110764,1.0155787,1.1598957,1.3948188,1.1835244,0.8984218,0.814491,1.1715229,1.0831783,0.9479935
