,penguin,duck,bird,owl,butterfly,fish,frog,rooster,pig,alligator,bear,deer,elephant,giraffe,zebra,pony,horse,dog,cat,toe,foot,ankle,finger,hand,arm,leg,hair,ear,eye,face,nose,mouth,tooth,shower,bathtub,sink,refrigerator,oven,couch,bed,closet,drawer,door,window,stroller,crib,bench,table,chair,lamp,car,motorcycle,tricycle,boat,helicopter,firetruck,truck,snow,tree,grass,sprinkler,hose,slide,swing,ladder,chips,cracker,cookie,muffin,pastry,bread,toast,sandwich,hamburger,meat,pasta,pizza,sauce,soup,applesauce,raisin,pickle,milk,egg,corn,carrot,potato,banana,orange,strawberry,melon,apple,pumpkin,flower,plant,glasses,book,pen,pencil,crayon,spoon,fork,knife,scissors,toothbrush,comb,vacuum,mop,broom,shovel,nail,stick,rock,coffee,cup,bowl,dish,plate,glass,jar,bottle,bucket,can,basket,tray,box,paper,napkin,towel,blanket,pillow,gum,soap,tape,ball,balloon,dress,pajamas,shirt,jacket,coat,sweater,scarf,pants,shorts,jeans,glove,mitten,sock,slipper,shoe,toy,doll,necklace,bib,purse,belt,hat,watch,clock,radio,cloud,game
oven,-0.06428494,-0.1143061,-0.115274966,-0.11221537,-0.16933966,-0.06261495,-0.14407952,-0.037408657,-0.09828067,-0.07405162,-0.08045076,-0.026398044,-0.12832436,-0.1227455,-0.12981346,-0.12045275,-0.08412294,0.017832633,-0.0034120232,-0.16467072,-0.1395399,-0.15628673,-0.07586025,-0.12257138,-0.103273995,-0.06177997,-0.069497034,-0.030996893,-0.12488654,-0.047510356,-0.15033914,-0.13436791,-0.15017903,0.28821015,0.20401771,0.3621848,0.67767406,1.0000002,0.17671242,0.22388634,0.3087254,0.36173448,0.18861106,0.19299826,0.14652771,0.1749036,0.0679187,0.21847345,0.06334594,0.04508886,0.076842904,0.11724597,0.019066034,0.022048045,0.02225814,0.1405322,0.0408497,-0.07401244,-0.022233672,-0.14915746,-0.017179122,0.0006639827,0.058567755,-0.03880163,-0.04597434,-0.023457587,0.020405885,0.07668756,0.08427409,0.12121387,0.12560454,0.0847958,0.11658925,0.05996936,0.10147813,0.07238081,0.143286,0.12199342,0.09571612,0.040354744,-0.047879413,-0.020154739,-0.10973688,-0.05433978,-0.09151998,-0.07615654,-0.044994384,-0.070795655,-0.15819435,-0.09088816,-0.051126298,-0.046590492,-0.060085922,-0.14428025,-0.059804462,-0.10185997,-0.021729682,-0.089743435,-0.12817542,-0.13757077,0.05773984,0.14000136,0.25224963,0.0707293,-0.011797402,-0.12347406,0.2306352,0.00020122714,-0.036943782,0.011920327,-0.07733795,-0.16097671,-0.118997134,0.02621568,0.0015497468,-0.04515995,0.07613554,0.09645891,-0.044027783,-0.035248853,-0.106602594,-0.1161101,0.037268214,-0.0061353818,0.23541963,0.0068721827,-0.076383345,0.010840723,0.031203646,0.026104324,0.030198563,-0.17919023,-0.06089503,-0.103440434,-0.19911626,-0.13276711,-0.015126396,-0.055535097,-0.09694468,-0.044117764,-0.0459976,-0.12280378,0.00085196295,-0.026275862,-0.029706907,-0.05686424,-0.04601697,-0.08911878,-0.102240816,-0.075933196,-0.12624203,-0.112503305,0.018270673,-0.14483663,-0.09586103,-0.027413398,-0.0668868,-0.13174064,0.04815159,0.10114336,0.29876924,-0.09619669,0.0159527
couch,-0.15492585,-0.12105147,-0.11088294,-0.15410799,-0.09928792,-0.06451699,-0.115179524,-0.15459013,-0.16732958,-0.14025092,-0.13304779,-0.093125746,-0.06494929,-0.12845364,-0.1405488,-0.07039267,-0.0534424,-0.0054377913,-0.036095046,-0.023660883,-0.086170636,-0.046505846,-0.07668676,-0.042036075,-0.05895426,-0.02758715,0.03896857,-0.021025093,-0.039777573,-0.115701035,-0.117774785,-0.06339571,-0.05566852,0.3004262,0.34214962,0.2723504,0.19069216,0.17671242,1.0000001,0.5532858,0.42006218,0.21112709,0.15739453,0.19066998,0.12848957,0.3255276,0.33806324,0.41914356,0.38829875,0.23887339,0.00813538,0.04817405,0.052537564,0.03612615,-0.06753004,-0.04512266,0.07225492,-0.020040266,0.045511425,-0.06753027,0.0015099345,0.043011185,0.12162925,0.03875195,-0.04528551,-0.12804636,-0.15042645,-0.13108014,-0.13678686,-0.15456751,-0.11198866,-0.1621031,-0.07690859,-0.043594114,-0.15760657,-0.14995642,-0.08142598,-0.1091035,-0.088775605,-0.13693419,-0.08835582,-0.10715601,-0.1746825,-0.21402337,-0.173095,-0.16732423,-0.14295626,-0.13493565,-0.17578018,-0.20584983,-0.17712545,-0.18071279,-0.18688813,-0.09400015,-0.09628816,0.036237177,-0.005637885,-0.08562518,-0.1312941,-0.07672514,-0.101375625,-0.094460815,-0.048873242,-0.071412355,-0.059821695,-0.077266224,0.19909963,0.041897397,0.016492877,-0.1142872,-0.15148397,-0.11887655,-0.07747923,-0.03752029,0.085137874,0.073329955,0.09667008,0.06280248,-0.005760258,-0.0827746,-0.09137127,-0.08331153,-0.111927874,0.07593301,0.15738204,0.07184567,-0.021862188,0.045851722,0.25816643,0.34031978,0.49853033,-0.089545175,-0.008934396,-0.10218777,-0.005576743,-0.0061230166,0.16921039,0.1378878,0.13329414,0.19293416,0.15162103,0.13698602,0.0838165,0.15133776,0.11615099,0.13950457,0.04145113,-0.025035398,0.021883715,0.10004395,0.031380665,-0.04725181,-0.039567444,0.039754212,0.019564323,0.2245957,0.07235931,0.008821826,0.06019654,0.032212332,0.041845754,-0.08849978,0.022194833
bed,-0.062735856,-0.125572,-0.08076117,-0.10259574,-0.057746902,-0.07040321,-0.1081367,-0.06831597,-0.10928947,-0.12503344,-0.09526479,-0.060212616,-0.05836756,-0.053294547,-0.06520812,-0.05091065,-0.0023893388,-0.04097983,-0.042937107,0.034827042,-0.042325538,-0.038599,-0.12824209,-0.10777142,-0.1311775,-0.0014150888,0.016310435,-0.04583034,-0.06338976,-0.10653817,-0.112789564,-0.08839299,-0.06792148,0.44877052,0.47385415,0.38099745,0.17964774,0.22388634,0.5532858,0.9999999,0.5275929,0.2739268,0.23667735,0.28337732,0.11996121,0.53508997,0.14593981,0.28715894,0.20539549,0.22113335,0.03199238,0.044340987,0.023755843,0.063161284,-0.033343572,-0.008314827,0.040680207,-0.03629075,-0.016911715,-0.16045393,-0.08009474,-0.031137325,0.0712758,-0.017947163,0.013801073,-0.1930202,-0.2039966,-0.17154375,-0.10208467,-0.06263135,-0.17000845,-0.14681953,-0.06736955,-0.0592719,-0.11449275,-0.11963807,-0.05758413,-0.09730117,-0.08507923,-0.0947909,-0.10222579,-0.13449372,-0.15189677,-0.11658833,-0.21742299,-0.17211017,-0.18584533,-0.18715826,-0.122450784,-0.15157506,-0.14786552,-0.13089338,-0.13805093,-0.04683574,-0.08829413,-0.04426509,-0.013492309,-0.10452941,-0.14368656,-0.075904794,-0.012840637,-0.0687868,0.0054792147,-0.06953673,0.015843894,-0.09705958,0.16817115,0.02331705,-0.010454687,-0.09352869,-0.14701183,-0.14473446,-0.1149811,0.0031338902,0.06625332,-0.06313263,0.110562965,0.06476071,-0.04424099,-0.031118775,-0.14949787,-0.16811669,-0.1335282,0.048671655,0.15531056,-0.051901735,-0.13546449,0.039596535,0.35684508,0.38369572,0.6219889,-0.13175917,0.026482074,-0.07664217,-0.0813832,-0.05469714,0.17004679,0.3065439,0.13402273,0.11365349,0.09096697,0.0431104,0.011187147,0.13032301,0.06477051,0.053930312,-0.05543328,-0.10240071,-0.028804947,0.1343514,-0.030546265,-0.022191677,0.044990428,0.004427319,0.0015856007,0.05097884,-0.007952083,-0.0020912886,0.023068776,0.114497066,-0.0018487498,-0.12790541,0.05207479
closet,-0.13093542,-0.16774008,-0.13965562,-0.13123053,-0.07873291,-0.098517716,-0.13416137,-0.17649707,-0.21428856,-0.2024321,-0.17268199,-0.10441101,-0.13777342,-0.1015857,-0.094219215,-0.13673005,-0.06732989,-0.09379353,-0.074416146,-0.060692012,-0.1274491,-0.13528848,-0.1234692,-0.09703211,-0.07781535,-0.030695442,0.027192704,0.029251453,-0.07284569,-0.048872314,-0.06235085,-0.020672113,0.0043724147,0.49526447,0.3240159,0.34955463,0.40114436,0.3087254,0.42006218,0.5275929,1.0000001,0.5985378,0.3899194,0.32373995,0.11747648,0.38977253,0.17652702,0.36477217,0.27281797,0.16245566,-0.0017182454,0.0038716933,0.021504195,-0.01083605,-0.082983196,-0.010753043,0.021902597,-0.05478343,0.10111923,-0.14791906,-0.09333385,-0.037502743,0.098224446,0.049302272,0.123450615,-0.15022796,-0.17028064,-0.14327314,-0.14580177,-0.17123404,-0.17905778,-0.16120344,-0.09445684,-0.12369673,-0.12789106,-0.057904918,-0.06952967,-0.06437013,-0.092416696,-0.15841869,-0.08350871,-0.13641268,-0.07727422,-0.14482069,-0.2501395,-0.19304852,-0.19221719,-0.120147854,-0.10981707,-0.19735807,-0.15993999,-0.12050988,-0.13895708,-0.10880132,-0.103441045,0.0074247066,0.07134192,-0.090516016,-0.12394052,-0.013712991,-0.010421887,-0.08325998,-0.019959666,0.0032436438,0.08371527,-0.057201,0.19224116,0.07397215,0.07926773,-0.1304086,-0.090856075,-0.11985472,-0.11721035,-0.0626385,-0.00906812,-0.051087536,0.10032341,0.038400114,-0.02170652,0.04394243,-0.059417013,-0.0922524,-0.03722093,0.11038323,0.2505705,0.095759355,-0.031957213,0.07649374,0.31460017,0.27258945,0.2556001,-0.12093629,-0.021392945,-0.09844576,-0.13080725,-0.05206437,0.19289123,0.23725314,0.20096643,0.20529905,0.16322944,0.049051296,0.028433517,0.12800066,0.110810265,0.09017989,-0.046547417,-0.093654715,-0.06950988,0.028614827,-0.019653302,-0.11275764,-0.00042025093,0.030341946,0.0044210916,0.11771922,0.052435488,0.013855845,-0.017349305,0.0975349,0.040686555,-0.06117411,0.006419384
drawer,-0.1288327,-0.1564305,-0.10199499,-0.13050777,-0.110958844,-0.13305938,-0.12592725,-0.15593848,-0.20033154,-0.212093,-0.15369622,-0.13677861,-0.18555388,-0.19068086,-0.13272491,-0.18497342,-0.15554069,-0.1401966,-0.1527991,-0.08245547,-0.13060199,-0.103843845,-0.09160805,-0.10524972,-0.08074736,-0.05622808,-0.03796636,-0.047004078,-0.1249977,-0.06475802,-0.07170991,-0.07334175,-0.022356533,0.28933007,0.2480883,0.3624637,0.27089584,0.36173448,0.21112709,0.2739268,0.5985378,1.0000001,0.27237934,0.24001542,0.10074608,0.28026175,0.28323123,0.4906592,0.22265181,0.15998456,-0.0361521,-0.00825533,0.02365991,0.07643233,-0.046069637,-0.026831303,0.0074695414,-0.035851732,0.057286188,-0.12590434,-0.14068091,-0.037325174,0.05143695,0.017255353,0.14187345,-0.14593941,-0.07547547,-0.08286773,-0.061924696,-0.05472042,-0.060634304,-0.11176809,-0.12563583,-0.19939934,-0.045168072,-0.06666261,-0.11150023,-0.014573669,-0.09581066,-0.03981893,-0.0097311735,-0.08348988,-0.16856433,-0.11286025,-0.19864962,-0.14400041,-0.119466186,-0.12984283,-0.14392667,-0.16387875,-0.10106945,-0.06131301,-0.102429464,-0.10947817,-0.066543445,-0.02245044,0.03545908,0.039081126,0.04227844,0.011948999,0.11914566,0.012720045,0.14924176,0.0958786,0.012381456,0.061610803,0.11468131,0.07262549,0.09764299,0.03831105,0.114467286,0.052305568,-0.028168531,-0.07442765,0.04982165,0.15973608,0.1269684,-0.0029982813,-0.013831708,0.15119399,0.008137628,0.052903105,0.1772915,0.20649421,0.6052737,0.20518747,0.03961779,0.034296412,0.10421085,0.099791415,0.12518369,-0.032039262,0.0113763865,0.0240912,-0.10302603,-0.094112664,-0.005399164,0.005169431,-0.026388358,-0.0007938538,-0.013865047,-0.07387282,-0.055440664,-0.06529758,-0.0031517255,-0.058885798,-0.07055074,-0.059128582,-0.08948521,-0.008463947,-0.02612516,-0.09568035,-0.008761375,0.0028903875,0.015169339,0.071169004,0.07316941,-0.014085624,-0.013596564,0.09760705,0.12096882,-0.06283714,0.039991822
door,-0.09303178,-0.07181567,-0.11378848,-0.05880872,-0.05141467,-0.09177299,-0.11401674,-0.04895415,-0.17000078,-0.11539849,-0.10705444,-0.10808715,-0.17413178,-0.14626625,-0.14872345,-0.09641723,-0.029525856,-0.050279766,-0.012256741,-0.04028,-0.04792549,-0.09953229,-0.021135803,-0.044993594,-0.03632579,-0.047093384,-0.02229455,-0.00830359,-0.012176206,-0.04489539,-0.013574231,-0.021097176,-0.049024142,0.31513464,0.16591045,0.15199313,0.25895113,0.18861106,0.15739453,0.23667735,0.3899194,0.27237934,0.9999998,0.5505699,0.060710594,0.17253447,0.18267217,0.15736601,0.17201853,0.064084776,-0.0099963285,-0.056623492,0.055535223,0.07747325,-0.00066296663,0.016584618,0.020112425,0.061976984,0.11280821,-0.01921767,-0.051813878,0.034350432,0.12749158,0.11666313,0.19562593,-0.059546176,-0.037046693,0.013964079,-0.07366341,-0.08384593,-0.053648084,-0.06366493,-0.017895836,-0.0743894,-0.033035308,-0.029496338,-0.024423374,-0.0829283,-0.014759919,-0.12901145,-0.056415185,-0.061924294,-0.033408556,-0.029555775,-0.08000972,-0.12307978,-0.14508693,-0.11588647,-0.122957766,-0.15730807,-0.07601936,-0.09967081,-0.06715775,0.033740576,-0.056595176,0.03233782,0.037446488,-0.063683555,-0.10248703,-0.07752988,-0.004802106,-0.016480274,0.025427237,0.03790327,-0.06663889,-0.052237213,0.079029754,0.09205758,0.10707928,0.05288305,-0.04261186,-0.03291724,-0.007991705,-0.037967075,-0.10473446,-0.06409455,-0.039913345,0.011516268,-0.0146438945,-0.0025893543,-0.047092874,-0.02580482,-0.0271916,0.057522353,0.17803864,0.19136,0.010260483,0.035253108,0.0023875262,0.043024536,0.06321415,-0.024901241,-0.053634286,-0.06900217,0.014480406,0.04664553,0.0004793713,-0.028672945,-0.030678248,-0.03065671,0.04604869,-0.0071716197,-0.034320366,0.012509399,0.0020149995,-0.030325979,-0.0037676436,-0.04728883,-0.044817723,-0.032571193,-0.08031717,-0.0980238,-0.07300794,-0.06930037,0.028441662,0.014776571,0.03862647,-0.07056661,-0.09007045,0.19948877,0.039959673,-0.008999576,-0.029224237
window,-0.08722581,-0.07811699,-0.05509951,-0.044433676,-0.05179082,-0.13236444,-0.16563961,-0.07413214,-0.17947352,-0.19262865,-0.09578891,-0.058720425,-0.19353,-0.156012,-0.13568059,-0.11244801,-0.054988235,-0.054920502,-0.030642373,-0.033855274,-0.024693519,-0.07037403,0.013554361,0.0148942545,-0.06633733,-0.032743204,0.005948928,0.014194176,0.10138084,0.0037617171,0.0539044,-0.044066023,0.027658049,0.31795433,0.20527548,0.21987703,0.17371938,0.19299826,0.19066998,0.28337732,0.32373995,0.24001542,0.5505699,1.0000001,0.02935118,0.18698677,0.18216512,0.18196908,0.14758277,0.15497196,0.010584728,-0.002810793,-0.046822034,0.08132118,-0.027877633,0.014127454,-0.019300532,0.11007467,0.19430417,-0.012850399,0.02665584,0.01823807,0.08843969,0.08854094,0.18301609,-0.11314464,-0.10232985,-0.082298465,-0.075144164,-0.09171217,-0.071328506,-0.094352946,-0.119505756,-0.14846444,-0.06837106,-0.11484462,-0.08094101,-0.09294273,-0.05732122,-0.067800306,-0.092917584,-0.13082363,-0.01858746,-0.07445643,-0.097898714,-0.15579449,-0.14625965,-0.16051134,-0.1454012,-0.053212993,-0.101505436,-0.039701026,-0.03505221,0.032488976,0.01745206,0.05995872,0.012003396,-0.09691946,-0.084694,-0.09614914,0.0044608796,-0.028571963,0.01516518,0.04645872,-0.0631149,-0.04062461,0.08791327,0.069628365,0.08623246,0.034919076,-0.05231494,-0.042180922,0.033529498,-0.013262827,-0.009059142,-0.0079825325,0.060710806,0.048390284,0.02920546,0.013588695,-0.07304476,0.00087493844,-0.00092357676,0.053952485,0.15112612,0.040579412,0.029862491,0.09282173,0.07311556,0.11274251,0.1627734,-0.047131762,-0.05204173,-0.012937691,-0.062069893,0.02025811,0.016919509,0.0114064915,-0.052319437,-0.017172944,-0.014646856,-0.07027478,0.0062460722,-0.04905776,-0.025851626,-0.08732362,0.05345328,0.007855568,-0.018691722,-0.07414764,-0.09597191,-0.13136698,0.018925793,-0.036140814,0.03533696,-0.042879347,-0.04472246,-0.07822997,-0.0960327,0.15368968,0.030932892,0.065569535,-0.051853295
stroller,-0.07947573,-0.08507476,-0.066080265,-0.091659345,-0.07700297,-0.062865116,-0.0438618,-0.14338574,-0.15729505,-0.06992707,-0.042044125,-0.006463049,0.058776163,-0.0034187767,-0.037206866,0.0722417,0.031270206,0.002425693,-0.07648309,-0.021569345,-0.03609781,-0.05485654,-0.13570334,-0.11113238,-0.167896,-0.08705827,-0.05100526,0.014094364,-0.08229351,-0.059974864,-0.10056989,-0.10161829,-0.10749824,0.08535266,0.097041465,0.07962671,0.14099126,0.14652771,0.12848957,0.11996121,0.11747648,0.10074608,0.060710594,0.02935118,0.99999994,0.5683468,0.1732508,0.20018181,0.2650555,0.16714229,0.21358445,0.17199829,0.5326066,0.19077906,0.055280723,0.03129346,0.013353303,-0.07339438,-0.0033971644,-0.08589199,0.030860336,0.037557986,0.26886433,0.24814543,0.07633908,-0.13259125,-0.13449399,-0.17733261,-0.12034366,-0.11103891,-0.13289799,-0.13240626,-0.06288467,-0.082295716,-0.17774305,-0.112487115,-0.06967877,-0.004293762,-0.1290867,-0.18002015,-0.22323856,-0.15990162,-0.14541939,-0.20990701,-0.18802819,-0.20603,-0.14841391,-0.13147745,-0.17653385,-0.14215066,-0.14367458,-0.092983246,-0.07953443,-0.18227807,-0.083311155,-0.0049575903,-0.11578045,-0.021747582,-0.052721426,-0.006071521,-0.026558386,-0.0035788026,0.037975036,0.025982965,0.061864614,-0.033362977,0.25816417,-0.035533335,0.04084144,0.06302534,-0.05725289,-0.061173886,-0.15043794,-0.14053445,-0.08168901,-0.05516895,-0.025987603,-0.09425469,-0.12239288,-0.123270825,-0.023397837,-0.025093593,-0.13146572,0.21657649,0.10328525,0.021033466,-0.13546975,-0.059987336,0.011162338,0.16099432,0.021190047,-0.14727756,-0.1552296,-0.07706961,-0.038746744,-0.024229655,0.14344351,0.13977957,0.090862736,0.18129128,0.08119343,0.008934243,0.017622994,0.14581017,0.112357035,0.03846953,0.06070067,0.0390521,0.010524265,0.20279203,0.12013594,0.1268399,0.13089012,-0.04924823,0.27967104,0.21995589,0.09113306,0.052284934,0.051763512,0.047374096,0.12603965,-0.12387055,0.063479304
crib,-0.092438444,-0.20931092,-0.08874529,-0.14929713,-0.11741552,-0.06477735,-0.10911071,-0.14505383,-0.13301079,-0.15148206,-0.10202284,-0.053815663,0.011537407,-0.008033018,-0.029456913,-0.03613907,-0.018071154,-0.026308233,-0.11143171,0.021736398,-0.07076926,-0.07709906,-0.10501079,-0.10044318,-0.14113693,-0.0632665,-0.045954015,-0.0028853184,-0.069563776,-0.09834434,-0.024118625,-0.003779715,0.010829492,0.29189032,0.24436894,0.2230483,0.13024834,0.1749036,0.3255276,0.53508997,0.38977253,0.28026175,0.17253447,0.18698677,0.5683468,1.0000004,0.25495526,0.31954068,0.2636952,0.115866005,0.00338717,0.027675586,0.1937151,0.02329177,-0.072416164,0.01935988,0.008255906,-0.0460767,-0.062405743,-0.115896255,-0.062046662,-0.003072109,0.24190992,0.15543076,0.10365805,-0.24629375,-0.21446475,-0.1919733,-0.12508151,-0.14328921,-0.16364622,-0.1640329,-0.09803809,-0.108072415,-0.128174,-0.12725061,-0.17729567,-0.018328175,-0.14378165,-0.12543567,-0.20165703,-0.12458271,-0.059119757,-0.10839242,-0.20930952,-0.20032239,-0.21877423,-0.18276705,-0.17807083,-0.1827656,-0.16989997,-0.14685465,-0.13660893,-0.15672255,-0.05671394,-0.048484065,-0.107770905,-0.135257,-0.12671329,-0.026682751,-0.002554465,-0.025172379,-0.03718914,-0.05099787,0.081668615,-0.04166194,0.14950109,0.006990634,-0.0028531887,-0.09044242,-0.07976202,-0.11014418,-0.18933079,-0.060155865,0.07948413,-0.029180882,0.10995401,0.037198804,0.046585165,0.069392234,-0.056675747,-0.03573385,-0.03963057,0.20165944,0.21082318,0.0054997914,-0.12823111,0.046731405,0.22365144,0.35299754,0.3125783,-0.09744419,-0.014082212,0.0016713111,-0.096343584,0.023349335,0.14012188,0.24821475,0.058910616,0.07084575,0.035386544,-0.010896484,-0.0011668475,0.111107364,0.0900377,0.019004326,-0.046371453,0.043361105,0.03359711,0.20569202,-0.021412604,0.085534826,0.08042804,0.0007913485,0.30401623,0.07915998,0.002108302,-0.037722416,-0.003488481,0.11192137,0.05903651,-0.111594856,0.10217041
bench,-0.10126423,-0.004653951,-0.019908536,-0.09383567,-0.05417403,-0.113099076,-0.110140115,-0.015932161,-0.120849624,-0.037150674,-0.07042006,-0.08575794,-0.10819735,-0.07869591,-0.062228553,-0.015323892,-0.048089225,-0.03551185,-0.14962745,-0.16530961,-0.10966168,-0.0857576,-0.14000425,-0.09810759,-0.045648515,-0.07717363,-0.1349476,-0.10615517,-0.17869678,-0.07586066,-0.1125459,-0.06057977,-0.08443868,0.11528666,0.16714767,0.09763734,0.022092381,0.0679187,0.33806324,0.14593981,0.17652702,0.28323123,0.18267217,0.18216512,0.1732508,0.25495526,0.99999994,0.47525975,0.42229122,0.16741663,-0.06345419,-0.033459187,0.13083614,0.13875303,-0.1142642,-0.076873034,0.01607027,0.062148493,0.2362583,0.083657116,0.1792056,0.112321004,0.3820094,0.34565455,0.14836402,-0.12989016,-0.18373124,-0.1727702,-0.16047746,-0.17097455,-0.0747732,-0.0824468,-0.0805768,-0.121538214,-0.0884341,-0.18553165,-0.15817688,-0.09444072,-0.16984886,-0.17488746,-0.08876485,-0.09277843,-0.20653012,-0.13018037,-0.11363496,-0.03256297,-0.13031252,-0.059933852,-0.08919993,-0.15049471,-0.055942584,-0.07041512,-0.048647866,0.018420514,0.078720436,0.0076026917,-0.0938625,-0.05643499,0.02470466,-0.026015785,0.015565367,0.11051918,0.022156887,-0.055801786,-0.045726974,0.03303413,0.084509805,0.025098383,0.06925695,0.1393905,0.002389145,0.050202034,0.0003909506,-0.065044306,0.045327976,0.086699724,0.08753376,0.0756353,0.054362386,-0.022808386,0.00537181,0.09146032,0.0008164899,0.26185676,0.23903602,0.09409611,-0.052124903,0.0022964585,0.023133399,0.1437989,0.1601888,-0.07893767,-0.09735393,-0.065282926,-0.01961655,-0.10709047,-0.007900471,-0.012130135,-0.037137024,-0.030600628,-0.021519907,-0.015018623,0.05316946,-0.0089263655,0.044660356,-0.01714179,0.01004703,0.037152924,-0.008109748,-0.021686826,-0.08796032,-0.010346292,0.0061359666,-0.015308196,0.029912397,0.0009277407,0.021105725,-0.052705504,-0.050056856,0.14749458,0.03889222,0.014179385,0.026122477
table,-0.14586666,-0.12580797,-0.06740251,-0.13867825,-0.084713526,-0.10061218,-0.16136622,-0.13997993,-0.17927665,-0.19146223,-0.11777924,-0.12052341,-0.107326105,-0.13035375,-0.094827995,-0.07416058,-0.032735124,-0.0958305,-0.06870429,-0.07289426,-0.0967139,-0.077739865,-0.1667428,-0.11154528,-0.1647297,-0.023185471,-0.08116389,-0.13190149,-0.1335944,-0.13303536,-0.15421057,-0.07900527,-0.05137989,0.19019185,0.20915134,0.27438632,0.18056817,0.21847345,0.41914356,0.28715894,0.36477217,0.4906592,0.15736601,0.18196908,0.20018181,0.31954068,0.47525975,1.0000001,0.61208403,0.39214808,0.030632293,0.06851606,0.08896041,0.050310075,-0.033789203,-0.13754353,0.023334201,-0.06686656,0.034532934,-0.13164407,-0.1540705,-0.0160787,0.08031358,0.046201937,0.06410651,-0.19536504,-0.14952104,-0.1435183,-0.14027819,-0.080738865,-0.12991774,-0.17612408,-0.0810859,-0.097022474,-0.07916505,-0.100959055,-0.009159071,-0.07202034,-0.01709869,-0.05931887,-0.037891068,-0.13824594,-0.12790039,-0.16204019,-0.31914568,-0.24704479,-0.20006725,-0.12779269,-0.12656811,-0.18819886,-0.09678838,-0.1635276,-0.17569017,-0.084407374,-0.055327695,0.031492483,-0.10634593,-0.01757411,-0.017763443,-0.11654939,0.06691781,0.06792916,0.15137479,-0.018014802,-0.090375595,-0.030515233,0.11717893,-0.055059474,-0.044415187,-0.06816553,-0.057292886,-0.05647625,-0.065975845,-0.09169506,0.18401554,0.27931237,0.28105325,0.26098898,0.17302513,0.11003868,0.018456362,0.011176135,0.064472124,0.14141834,0.49580023,0.08017772,0.01991578,0.07228361,-0.015857052,0.21933109,0.17055666,-0.07351308,-0.052831814,0.016923182,-0.010560497,-0.07588686,0.18475045,0.0824313,0.07167694,0.10243028,0.016558062,0.019399062,0.026254524,0.059415095,0.07284687,0.04708847,-0.08083232,-0.069422886,-0.03867964,-0.028802227,0.0078316,-0.07638281,0.010207066,0.118580684,0.07288784,0.10099029,0.0031811036,-0.008801511,0.05456257,0.106328145,0.07004129,-0.1484069,0.07047468
chair,-0.13869202,-0.14619552,-0.088881485,-0.15354921,-0.11504293,-0.15241723,-0.11341519,-0.13594422,-0.19587255,-0.19603243,-0.15484056,-0.08410445,-0.13497543,-0.06692343,-0.09631559,-0.08286636,-0.027866729,-0.1539783,-0.05913308,-0.088658616,-0.08261366,-0.07244132,-0.083290875,-0.07179425,-0.114642404,-0.008969825,-0.11278188,-0.05384718,-0.14544696,-0.07799664,-0.13226312,-0.07822162,-0.0995456,0.114881754,0.12568267,0.12735806,0.09834288,0.06334594,0.38829875,0.20539549,0.27281797,0.22265181,0.17201853,0.14758277,0.2650555,0.2636952,0.42229122,0.61208403,1.0,0.3267975,0.0028197914,0.083910465,0.184551,0.044348214,-0.03416274,-0.13663101,-0.007826276,-0.05762451,0.029049363,-0.14907075,-0.15282607,-0.021334916,0.10338461,0.13053522,0.24939403,-0.18265417,-0.11296583,-0.1373855,-0.14151245,-0.103712164,-0.043013275,-0.040605582,-0.078048944,-0.08613395,-0.20070472,-0.15249695,-0.08229874,-0.05386111,-0.0915426,-0.14903426,-0.12844089,-0.19050887,-0.041083597,-0.13221967,-0.23673955,-0.18836153,-0.18840519,-0.111462496,-0.2169802,-0.20350297,-0.14468628,-0.16554989,-0.18348816,-0.08121212,-0.09606383,0.13007793,-0.0373303,-0.028274428,0.021000821,-0.07760322,0.057288975,0.12933502,0.06344381,0.034524586,-0.03956251,0.049985737,0.1212599,0.017555159,0.05808089,0.00889997,-0.0050158165,-0.037710108,-0.09633547,-0.008097807,0.2364062,0.18971115,0.20470464,0.18203163,0.14342314,0.06793457,0.056899786,0.066834934,-0.016156003,0.21895275,0.25428927,0.16447441,0.07131949,0.101303935,0.0014558882,0.21224287,0.24780998,-0.065267436,-0.04303029,0.0012297425,-0.048894174,-0.09683319,0.17707461,0.061266206,0.06084005,0.1334489,0.024270302,0.015034335,-0.002199797,0.059752107,0.03320917,0.051331673,-0.011293951,-0.027680704,0.027289022,0.032579623,0.05953275,-0.02026195,-0.024045847,0.046161704,0.088355176,0.22950132,0.0929625,0.09513943,0.041490108,0.1796711,0.044019602,-0.17742792,0.017359143
